1/9/2017 | 19/8/37 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/8/42 | Igrac Ghost | Komanda: /port
1/9/2017 | 19/8/59 | Igrac Ghost | Komanda: /gotopos 1533.599243 -1172.168945 23.882999 0
1/9/2017 | 19/9/2 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/9/2 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/9/6 | Igrac Ghost | Komanda: /port
1/9/2017 | 19/9/10 | Igrac Ghost | Komanda: /unfreeze 0
1/9/2017 | 19/9/22 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/10/4 | Igrac Ghost | Komanda: /gotopos 1897.853027 -1742.299316 14.686200 0
1/9/2017 | 19/40/29 | Igrac Ghost | Komanda: /port
1/9/2017 | 19/41/28 | Igrac Ghost | Komanda: /port
1/9/2017 | 19/41/30 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/42/16 | Igrac Ghost | Komanda: /mark
1/9/2017 | 19/42/44 | Igrac Ghost | Komanda: /gotomark
1/9/2017 | 19/42/46 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/43/9 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/43/17 | Igrac Ghost | Komanda: /tod 24
1/9/2017 | 19/43/35 | Igrac Ghost | Komanda: /tod 12
1/9/2017 | 19/43/42 | Igrac Ghost | Komanda: /mark
1/9/2017 | 19/44/19 | Igrac Ghost | Komanda: /gotopos 1485.1323 -2299.0559 13.6747 0
1/9/2017 | 19/44/35 | Igrac Ghost | Komanda: /gotopos 1208.7889 -1747.1995 13.5934 0
1/9/2017 | 19/44/51 | Igrac Ghost | Komanda: /gotomark
1/9/2017 | 19/45/17 | Igrac Ghost | Komanda: /tod 24
1/9/2017 | 19/46/13 | Igrac Ghost | Komanda: /tod 12
1/9/2017 | 19/46/20 | Igrac Ghost | Komanda: /veh 516 70 70
1/9/2017 | 19/48/41 | Igrac Ghost | Komanda: /gotopos 1893.0549 -1653.9534 13.5028 0
1/9/2017 | 19/49/57 | Igrac Ghost | Komanda: /mark
1/9/2017 | 19/49/58 | Igrac Ghost | Komanda: /port
1/9/2017 | 19/50/0 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/51/8 | Igrac Ghost | Komanda: /gotopos 1203.6300 -1738.4695 13.5818 0
1/9/2017 | 19/51/39 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/52/18 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/52/26 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/53/28 | Igrac Ghost | Komanda: /fly
1/9/2017 | 19/59/0 | Igrac Ghost | Komanda: /gotopos 1733.7217 -1271.8281 13.5472 0
1/9/2017 | 20/20/9 | Igrac Ghost | Komanda: /port
1/9/2017 | 20/20/15 | Igrac Ghost | Komanda: /tod 12
1/9/2017 | 20/20/16 | Igrac Ghost | Komanda: /fly
1/9/2017 | 20/21/6 | Igrac Ghost | Komanda: /fly
1/9/2017 | 20/21/31 | Igrac Ghost | Komanda: /fly
1/9/2017 | 20/21/56 | Igrac Ghost | Komanda: /fly
1/9/2017 | 20/24/7 | Igrac Ghost | Komanda: /fly
1/9/2017 | 20/24/27 | Igrac Ghost | Komanda: /fly
1/9/2017 | 20/26/26 | Igrac Ghost | Komanda: /fly
1/9/2017 | 20/29/19 | Igrac Ghost | Komanda: /fly
