22. June 2017 | 21:37:18 | - AFK = 0
22. June 2017 | 21:37:18 | - PickupTeleport = 1
22. June 2017 | 21:37:18 | - FlyHack = 40
22. June 2017 | 21:37:18 | - JunkBusterChrome = 1
22. June 2017 | 21:37:18 | - CheckWalkAnims = 1
22. June 2017 | 21:37:18 | - ReportMoneyHack = 1
22. June 2017 | 21:37:18 | - SpeedhackAdvanced = 20
22. June 2017 | 21:37:18 | - Joypad = 0
22. June 2017 | 21:37:18 | - ArmedVehicles = 0
22. June 2017 | 21:37:18 | - VehicleRepair = 2
22. June 2017 | 21:37:18 | - TuningHack = 1
22. June 2017 | 21:37:18 | - PayForGuns = 0
22. June 2017 | 21:37:18 | - SpawnVehicles = 2
22. June 2017 | 21:37:18 | - MaxTotalWarnings = 15
22. June 2017 | 21:37:18 | - TooManyWarningsAction = 1
22. June 2017 | 21:37:19 | - AirbrakeDetection = 1
22. June 2017 | 21:37:19 | - SpeedhackDetection = 0
22. June 2017 | 21:37:19 | 0 IP-bans have been loaded.
22. June 2017 | 21:37:19 | 0 temporary bans have been loaded.
22. June 2017 | 21:37:19 | 0 whitelist entries have been loaded.
22. June 2017 | 21:37:19 | 5 blacklist entries have been loaded.
22. June 2017 | 21:37:19 | 41 bad words have been loaded.
22. June 2017 | 21:37:19 | 4 forbidden weapons have been loaded.
22. June 2017 | 21:37:19 | JunkBuster has been configurated.
22. June 2017 | 21:37:19 | JunkBuster (v11) has successfully been loaded.
4. July 2017 | 21:39:50 | Loading JunkBuster...
4. July 2017 | 21:39:50 | Current JunkBuster configuration: 
4. July 2017 | 21:39:50 | - WeaponHack = 1
4. July 2017 | 21:39:50 | - MoneyHack = 1
4. July 2017 | 21:39:50 | - Jetpack = 0
4. July 2017 | 21:39:50 | - HealthHack = 1
4. July 2017 | 21:39:50 | - ArmourHack = 1
4. July 2017 | 21:39:50 | - DriveBy = 3
4. July 2017 | 21:39:50 | - Spam = 1
4. July 2017 | 21:39:50 | - CommandSpam = 0
4. July 2017 | 21:39:50 | - BadWords = 1
4. July 2017 | 21:39:50 | - CarJackHack = 1
4. July 2017 | 21:39:50 | - TeleportHack = 1
4. July 2017 | 21:39:50 | - MaxPing = 1000
4. July 2017 | 21:39:50 | - SpectateHack = 1
4. July 2017 | 21:39:50 | - Blacklist = 1
4. July 2017 | 21:39:50 | - IpBans = 1
4. July 2017 | 21:39:50 | - TempBans = 1
4. July 2017 | 21:39:50 | - SpawnKill = 3
4. July 2017 | 21:39:50 | - CapsLock = 0
4. July 2017 | 21:39:50 | - 3DSpeed = 0
4. July 2017 | 21:39:50 | - MaxSpeed = 230
4. July 2017 | 21:39:50 | - AdminImmunity = 1
4. July 2017 | 21:39:50 | - Advertisement = 0
4. July 2017 | 21:39:50 | - FreezeUpdate = 0
4. July 2017 | 21:39:50 | - SpawnTime = 10
4. July 2017 | 21:39:50 | - CheckpointTeleport = 1
4. July 2017 | 21:39:50 | - Airbrake = 150
4. July 2017 | 21:39:50 | - TankMode = 1
4. July 2017 | 21:39:50 | - WarnPlayers = 0
4. July 2017 | 21:39:50 | - SingleplayerCheats = 1
4. July 2017 | 21:39:50 | - MinFPS = 0
4. July 2017 | 21:39:50 | - DisableBadWeapons = 1
4. July 2017 | 21:39:50 | - CBug = 16
4. July 2017 | 21:39:50 | - AntiBugKill = 1
4. July 2017 | 21:39:50 | - NoReload = 0
4. July 2017 | 21:39:50 | - NoReloadForSawnOff = 0
4. July 2017 | 21:39:50 | - ActiveGMC = 2
4. July 2017 | 21:39:50 | - GMCBan = 0
4. July 2017 | 21:39:50 | - ServerSideHealth = 1
4. July 2017 | 21:39:50 | - CheckVMPos = 0
4. July 2017 | 21:39:50 | - QuickTurn = 0
4. July 2017 | 21:39:50 | - VehicleTeleport = 1
4. July 2017 | 21:39:50 | - Wallride = 170
4. July 2017 | 21:39:50 | - DisplayTextDraw = 1
4. July 2017 | 21:39:50 | - AFK = 0
4. July 2017 | 21:39:50 | - PickupTeleport = 1
4. July 2017 | 21:39:50 | - FlyHack = 40
4. July 2017 | 21:39:50 | - JunkBusterChrome = 1
4. July 2017 | 21:39:50 | - CheckWalkAnims = 1
4. July 2017 | 21:39:50 | - ReportMoneyHack = 1
4. July 2017 | 21:39:51 | - SpeedhackAdvanced = 20
4. July 2017 | 21:39:51 | - Joypad = 0
4. July 2017 | 21:39:51 | - ArmedVehicles = 0
4. July 2017 | 21:39:51 | - VehicleRepair = 2
4. July 2017 | 21:39:51 | - TuningHack = 1
4. July 2017 | 21:39:51 | - PayForGuns = 0
4. July 2017 | 21:39:51 | - SpawnVehicles = 2
4. July 2017 | 21:39:51 | - MaxTotalWarnings = 15
4. July 2017 | 21:39:51 | - TooManyWarningsAction = 1
4. July 2017 | 21:39:51 | - AirbrakeDetection = 1
4. July 2017 | 21:39:51 | - SpeedhackDetection = 0
4. July 2017 | 21:39:51 | 0 IP-bans have been loaded.
4. July 2017 | 21:39:51 | 0 temporary bans have been loaded.
4. July 2017 | 21:39:51 | 0 whitelist entries have been loaded.
4. July 2017 | 21:39:51 | 5 blacklist entries have been loaded.
4. July 2017 | 21:39:51 | 41 bad words have been loaded.
4. July 2017 | 21:39:51 | 4 forbidden weapons have been loaded.
4. July 2017 | 21:39:51 | JunkBuster has been configurated.
4. July 2017 | 21:39:51 | JunkBuster (v11) has successfully been loaded.
4. July 2017 | 21:49:51 | Loading JunkBuster...
4. July 2017 | 21:49:51 | Current JunkBuster configuration: 
